,AvgSalary,MinSalary,MaxSalary,AvgExperience,Job_Company
0,594125,2.0,11.2,5.0,System Engineer_tcs
1,905500,3.4,20.5,7.0,IT Analyst_tcs
2,1459521,4.0,29.8,10.5,AST Consultant_tcs
3,395563,2.5,5.9,2.0,Assistant System Engineer_tcs
4,1813704,3.8,34.2,12.5,Associate Consultant_tcs
5,440285,1.4,7.9,5.5,Senior Process Associate_tcs
6,631603,2.0,14.5,4.0,Software Engineer_tcs
7,318501,1.0,5.5,4.5,Process Associate_tcs
8,656037,1.9,14.9,4.5,Software Developer_tcs
9,675504,2.5,12.5,3.0,System Engineer Hardware_tcs
10,817107,3.0,15.5,3.0,Application Development Analyst_accenture
11,1232730,3.5,19.9,5.5,Application Development - Senior Analyst_accenture
12,1237733,2.6,28.0,6.0,Senior Software Engineer_accenture
13,1481563,3.3070448732852826,12.01799581492676,9.0,Team Lead_accenture
14,683481,2.7,16.5,3.0,Software Engineer_accenture
15,376627,3.3070448732852826,12.01799581492676,4.0,Transaction Processing Associate_accenture
16,1095852,3.3070448732852826,12.01799581492676,6.5,Senior Analyst_accenture
17,488765,1.0,8.2,2.0,Associate Software Engineer_accenture
18,1788527,6.1,27.5,8.0,Application Development Team Lead_accenture
19,468775,2.6,8.0,1.5,Application Development Associate_accenture
20,570821,2.5,9.7,3.0,Programmer Analyst_cognizant
21,1510127,2.1,30.2,9.0,Senior Associate_cognizant
22,405068,3.3070448732852826,12.01799581492676,4.0,Senior Processing Executive_cognizant
23,1093483,1.0,22.0,4.5,Project Associate_cognizant
24,1287353,3.5,30.0,8.0,Technical Lead_cognizant
25,262336,3.3070448732852826,12.01799581492676,1.5,Processing Executive_cognizant
26,813561,1.7,21.0,3.5,Software Engineer_cognizant
27,562229,1.0,11.0,4.0,Senior Systems Engineer_cognizant
28,414426,2.5,7.0,0.5,Programmer Analyst Trainee_cognizant
29,2302177,8.7,36.0,14.0,Project Manager_cognizant
30,566426,1.1,11.1,3.5,Project Engineer_wipro
31,1016834,3.2,27.0,5.5,Senior Project Engineer_wipro
32,1196016,3.3070448732852826,12.01799581492676,6.0,Senior Software Engineer_wipro
33,322379,3.3070448732852826,12.01799581492676,4.0,Senior Associate_wipro
34,1776351,4.4,33.0,10.0,Technical Lead_wipro
35,662508,1.7,23.0,3.0,Software Engineer_wipro
36,1155938,1.7,33.4,6.0,Associate Consultant_wipro
37,1087209,2.3,24.6,7.0,Senior Test Engineer_wipro
38,947103,2.0,24.8,7.5,Senior Administrator_wipro
39,723660,1.8,21.0,3.5,Software Developer_wipro
